MAC,starttime,endtime,station,strongsignal,weaksignal,times,diff,mobiledevice
78:45:61:70:11:b8,9,10,58,-45,-84,20,39,N
78:45:61:70:11:b8,9,10,58,-30,-75,19,45,N
78:45:61:70:11:b8,9,10,58,-30,-85,16,55,N
c8:f2:30:82:a8:0a,9.1,10,49,-49,-85,4,36,Y
c8:f2:30:82:a8:0a,9.1,10,49,-42,-85,1,43,Y
c8:3a:35:39:1f:58,9.1,10,43,-49,-82,3,33,N
2c:5b:b8:8f:42:26,9.3,10,29,-46,0,0,0,Y
78:45:61:70:11:b8,9,10.01,59,-47,-78,18,31,N
78:45:61:70:11:b8,9,10.01,58,-52,-82,14,30,N
78:45:61:70:11:b8,9,10.01,58,-51,-65,12,14,N
c8:3a:35:39:1f:58,9.1,10.01,43,-44,-89,2,45,N
2c:5b:b8:8f:42:26,9.3,10.01,29,-49,0,0,0,Y
6c:59:40:a4:b2:84,9,10.02,61,-43,-84,16,41,N
6c:59:40:a4:b2:84,9,10.02,61,-37,-76,13,39,N
78:45:61:70:11:b8,9,10.02,61,-54,-62,3,8,N
44:39:c4:b6:df:e2,9,10.02,60,-38,-81,9,43,N
44:39:c4:b6:df:e2,9,10.02,61,-40,-66,8,26,N
6c:59:40:92:3c:44,9,10.02,60,-42,-82,1,40,N
78:45:61:70:11:b8,9,10.02,60,-50,-77,21,27,N
78:45:61:70:11:b8,9,10.02,60,-51,-67,16,16,N
78:45:61:70:11:b8,9,10.02,60,-31,-73,15,42,N
78:45:61:70:11:b8,9,10.02,60,-53,-74,12,21,N
6c:59:40:8e:7f:7a,9,10.02,57,-41,-84,2,43,N
c8:f2:30:54:e9:1d,9.1,10.02,46,-37,0,0,0,Y
48:5a:b6:d7:d0:3d,9.2,10.02,36,-52,-85,3,33,Y
6c:59:40:8c:2f:a4,9.2,10.02,37,-53,-84,2,31,N
6c:59:40:8c:2f:a4,9.2,10.02,36,-52,-90,1,38,N
2c:5b:b8:8f:42:26,9.3,10.02,30,-44,-87,2,43,Y
2c:5b:b8:6c:52:48,9.5,10.02,11,-51,0,0,0,Y
2c:5b:b8:6c:52:48,9.5,10.02,11,-34,0,0,0,Y
c8:3a:35:39:1f:58,9.5,10.02,8,-47,0,0,0,N
78:45:61:70:11:b8,9,10.03,61,-43,-70,22,27,N
78:45:61:70:11:b8,9,10.03,61,-51,-68,17,17,N
78:45:61:70:11:b8,9,10.03,61,-30,-47,15,17,N
c8:3a:35:39:1f:58,9.1,10.03,45,-54,-87,3,33,N
c8:3a:35:22:62:58,9.2,10.03,38,-52,-97,1,45,N
2c:5b:b8:8f:42:26,9.3,10.03,31,-47,0,0,0,Y
6c:59:40:a4:b2:84,9,10.05,64,-52,-84,15,32,N
78:45:61:70:11:b8,9,10.05,65,-54,-76,5,22,N
78:45:61:70:11:b8,9,10.05,65,-38,-81,3,43,N
78:45:61:70:11:b8,9,10.05,64,-39,-85,1,46,N
c8:f2:30:02:17:00,9,10.05,64,-39,0,0,0,Y
44:39:c4:b6:df:e2,9,10.05,63,-41,-71,10,30,N
44:97:5a:a2:f8:54,9,10.05,63,-49,0,0,0,N
78:45:61:70:11:b8,9,10.05,63,-47,-76,25,29,N
6c:59:40:8e:7f:7a,9,10.05,60,-43,-78,1,35,N
c8:f2:30:54:e9:1d,9.1,10.05,49,-39,0,0,0,Y
c8:3a:35:39:1f:58,9.1,10.05,48,-42,0,0,0,N
c8:3a:35:1f:d0:b0,9.3,10.05,34,-48,0,0,0,N
2c:5b:b8:dd:67:69,9.5,10.05,13,-43,-89,1,46,Y
c8:3a:35:39:1f:58,9.5,10.05,11,-51,0,0,0,N
6c:59:40:a4:b2:84,9,10.06,65,-41,-84,8,43,N
44:39:c4:b6:df:e2,9,10.06,65,-38,-82,9,44,N
